PREFIX,PANEL,ROOM,VOLTAGE,LEVEL,OLD PREFIXES,NOTES,LABEL,CREATED
EMB5A,EMB5A,PHASE 2,208,P3,,NEEDS TO BE FED FROM PHASE 1,EMB5A,TRUE
HB5,HB5,PHASE 2,208,P3,,NEEDS TO BE FED FROM PHASE 1,HB5,TRUE
HB6,HB6,P123-305,208,P3,,,HB6,TRUE
HB7,HB7,P126-319,208,P3,,,HB7,TRUE
OG2,OF6L,P323-302,208,P3,,,OF6L - OG2,TRUE
OG4,OF6P,P323-302,208,P3,,,OF6P - OG4,TRUE
OH2,EMOF6L,P323-342,208,P3,,,EMOF6L - OH2,TRUE
OH7,EMSOF6,P323-342,208,P3,,,EMSOF6 - OH7,TRUE
P3B,6RPS,P323-305,600,P3,,,6RPS - P3B,TRUE
P3E,RPSP,P326-302,208,P3,P3EA,,RPSP - P3E,TRUE
P3EB,RPSP-A,P318-307,208,P3,P3EC,,RPSP-A - P3EB,TRUE
PP2,CP2SL,P226-317,208,P3,,,CP2SL - PP2,TRUE
PP8,6CEMP2S,P223-323,600,P3,,,6CEMP2S - PP8,TRUE
PQ2,CEMP2SL,P223-323,208,P3,,,CEMP2SL - PQ2,TRUE
PR7,6REMP3S,P323-311,600,P3,"PR7A, PR7B, PR7C",,6REMP3S - PR7,TRUE
PS3,REMP3SL,P323-311,208,P3,"PS3A, PS3B, PS3C, PR9, PT1",,REMP3SL - PS3,TRUE
PS4,REMP3SP,P323-311,208,P3,,,REMP3SP - PS4,TRUE
PS8,REMSP3S,P323-311,208,P3,,,REMSP3S - PS8,TRUE
PS8B,REMSP3S-B,P326-301,208,P3,,,REMSP3S-B - PS8B,TRUE
RA8,EMB6,P123-301,208,P3,,,EMB6 - RA8,TRUE
RC2,EMB7R,P126-313,208,P3,EMB7,,EMB7R - RC2,TRUE
OG2,OF6L,P323-302,208,P2,,,OF6L - OG2,TRUE
OG4,OF6P,P323-302,208,P2,,,OF6P - OG4,TRUE
OH2,EMOF6L,P323-342,208,P2,,,EMOF6L - OH2,TRUE
P2A1,CEMSP2S-B,P226-329,208,P2,,,CEMSP2S-B - P2A1,TRUE
P2A2,CEMSP2S-C,P225-304,208,P2,,,CEMSP2S-C - P2A2,TRUE
P2E,CP2SPA,P218-311,208,P2,"P2M, P2F",,CP2SPA - P2E,TRUE
P3E,RPSP,P326-302,208,P2,,,RPSP - P3E,TRUE
PN9,6CP2S,P226-311,600,P2,"P2C, P2D",,6CP2S - PN9,TRUE
PP2,CP2SL,P226-317,208,P2,,,CP2SL - PP2,TRUE
PP3,CP2SP,P226-317,208,P2,,,CP2SP - PP3,TRUE
PP8,6CEMSP2S,P223-323,600,P2,"P2A, P2B",,6CEMSP2S - PP8,TRUE
PQ2,CEMP2SL,P223-323,208,P2,"P2I, P2J, P2O",,CEMP2SL - PQ2,TRUE
PQ6A,CEMSP2S,P223-323,208,P2,,WAS CEMSP2A,CEMSP2S - PQ6A,TRUE
PS3,REMP3SL,P323-311,208,P2,PS3B,EMB7 LABELLED INCORRECTLY ON P2 DRAWING,REMP3SL - PS3,TRUE
RA4,HB6,P123-301,208,P2,HB6,,HB6 - RA4,TRUE
RA8,EMB6,P123-301,208,P2,EMB6,,EMB6 - RA8,TRUE
RB7,HB7,P126-319,208,P2,HB7,,HB7 - RB7,TRUE
RC2,EMB7R,P126-313,208,P2,EMB7,,EMB7R - RC2,TRUE
OG2,OF6L,P323-302,208,P1,,,OF6L - OG2,TRUE
OG4,OF6P,P323-302,208,P1,,,OF6P - OG4,TRUE
OH2,EMOF6L,P323-342,208,P1,,,EMOF6L - OH2,TRUE
OJ5,MMC,P318-306,208,P1,,,MMC - OJ5,TRUE
OK3,MMCEM,P318-308,208,P1,,,MMCEM - OK3,TRUE
OM9,RP215-301,P215-301,208,P1,,,RP215-301 - OM9,TRUE
ON5,EMSP215-301 ,P218-312,208,P1,,,EMSP215-301  - ON5,TRUE
P1A,6CEMP1S,P126-313,600,P1,"P1A, P1B, P1C, P1D, P1T",,6CEMP1S - P1A,TRUE
P1E,6CP1S,P123-303,600,P1,"P1F, P1G, P1H",,6CP1S - P1E,TRUE
P1I,CP1SL,P123-303,208,P1,"P1J, P1K, P1L",,CP1SL - P1I,TRUE
P1M,CP1SP,P123-303,208,P1,"P1N, P1O, P1P",,CP1SP - P1M,TRUE
P1Q,CEMP1SL,P126-313,208,P1,"P1R, P1S, P1T",,CEMP1SL - P1Q,TRUE
P1U,CEMP1SP,P126-313,208,P1,"P1V, P1W, P1X",,CEMP1SP - P1U,TRUE
P2E,CP2SPA,P218-311,208,P1,,,CP2SPA - P2E,TRUE
PQ6,CEMSP1S,P126-313,208,P1,,,CEMSP1S - PQ6,TRUE
PQ6-C,CEMSP1S-C,P126-317,208,P1,,,CEMSP1S-C - PQ6-C,TRUE
RA4,HB6,P123-305,208,P1,HB6,,HB6 - RA4,TRUE
RA8,EMB6,P123-301,208,P1,EMB6,,EMB6 - RA8,TRUE
RB3,EMSB6,P123-301,208,P1,EMSB6,,EMSB6 - RB3,TRUE
SWEMP,SW-EMP,P219-316,208,P1,"L, SW-EMP",,SW-EMP - SWEMP,TRUE
SWP,SW-P,P223-316,208,P1,,,SW-P - SWP,TRUE
